company,company_name,building,building_id,total,active_remotely_read,active_manual_readings,active_calculation_meters,inactive_remotely_read,inactive_manual_readings,inactive_calculation_meters,unSupported_remotely_read,unSupported_manual_readings,unSupported_calculation_meters,building_hierarchy,external_building_id
3,Glostrup Boligselskab,GB afd. 16 Diget 78,1,3,2,1,0,0,0,0,0,0,0,Driftsområde Glostrup -> GB afd. 16 Diget 78,
3,Glostrup Boligselskab,Brøndbyvestervej/Gyvelvej,2,9,7,2,0,0,0,0,0,0,0,Driftsområde Glostrup -> GB afd. 06 -> Brøndbyvestervej/Gyvelvej,
3,Glostrup Boligselskab,GB afd. 30 Granskoven/Egeskoven Fælles,4,12,9,3,0,0,0,0,0,0,0,Driftsområde Hvissinge -> GB afd. 30 Granskoven/Egeskoven -> GB afd. 30 Granskoven/Egeskoven Fælles,
3,Glostrup Boligselskab,GB afd. 32 Lindeskoven,5,3,3,0,0,0,0,0,0,0,0,Driftsområde Hvissinge -> GB afd. 32 Lindeskoven -> GB afd. 32 Lindeskoven,
3,Glostrup Boligselskab,GB afd. 08 Hovedvejen /Bryggergårdsvej 2A,7,12,8,4,0,0,0,0,0,0,0,Driftsområde Glostrup -> GB afd. 08 Hovedvejen /Bryggergårdsvej 2A,
3,Glostrup Boligselskab,GB afd. 18 Ærtebjergvej,9,7,0,7,0,0,0,0,0,0,0,Driftsområde Glostrup -> GB afd. 18 Ærtebjergvej,
3,Glostrup Boligselskab,Toftevej 6-10,11,5,3,2,0,0,0,0,0,0,0,Driftsområde Glostrup -> GB afd. 22+53+54+56+66 -> Toftevej 6-10,
3,Glostrup Boligselskab,GB afd. 25 Asylvej,12,5,3,2,0,0,0,0,0,0,0,Driftsområde Glostrup -> GB afd. 25 Asylvej,
3,Glostrup Boligselskab,GB afd. 28 Lilliendalsvej,13,6,3,3,0,0,0,0,0,0,0,Driftsområde Glostrup -> GB afd. 28 Lilliendalsvej,
3,Glostrup Boligselskab,GB afd. 29 Stenager Fælles,14,13,11,2,0,0,0,0,0,0,0,Driftsområde Hvissinge -> GB afd. 29 Stenager -> GB afd. 29 Stenager Fælles,
3,Glostrup Boligselskab,Gadager 9 Materialegård,15,1,1,0,0,0,0,0,0,0,0,Driftsområde Hvissinge -> GB afd. 31 Gadager -> Gadager 9 Materialegård,
3,Glostrup Boligselskab,GB afd. 33 Birke-/Bøgeskoven,16,20,17,3,0,0,0,0,0,0,0,Driftsområde Hvissinge -> GB afd. 33 Birke-/Bøgeskoven,
3,Glostrup Boligselskab,GB afd. 37 Egeskoven,19,5,3,2,0,0,0,0,0,0,0,Driftsområde Hvissinge -> GB afd. 37 Egeskoven,
3,Glostrup Boligselskab,GB afd. 49 Stenager 6,20,1,1,0,0,0,0,0,0,0,0,Driftsområde Hvissinge -> GB afd. 49 Stenager 6,
